
Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds
29=	HWS B	Novice	2nd	3rd	3rd	2nd	2nd	1st	4th	2nd	2nd	15	1394	1	5
29=	Swarthmore A		2nd	3rd	2nd	2nd	2nd	1st	3rd	2nd	4th	15	1394	1	5
31	TEC CEM Torta de Chilaquil	ESL	3rd	2nd	2nd	3rd	1st	4th	2nd	1st	3rd	15	1389	2	3
32	UCBerkeley XK	Novice	1st	1st	4th	2nd	3rd	4th	1st	3rd	3rd	14	1425	3	1
33	Welcome to the Hotel California		2nd	1st	2nd	4th	3rd	1st	4th	4th	1st	14	1404	3	2
34	EDS A		2nd	2nd	2nd	2nd	4th	2nd	3rd	1st	4th	14	1401	1	5
35	HH VAMOSSSSSS		2nd	1st	3rd	4th	1st	2nd	4th	2nd	3rd	14	1395	2	3
36	USC BK		3rd	3rd	3rd	2nd	2nd	1st	3rd	3rd	2nd	14	1393	1	3
37	USC LD		4th	3rd	2nd	3rd	2nd	1st	1st	4th	2nd	14	1387	2	3
38	Rochester IN		3rd	2nd	2nd	4th	3rd	3rd	1st	1st	3rd	14	1386	2	2
39	McGill WA		1st	2nd	3rd	2nd	3rd	3rd	2nd	3rd	4th	13	1414	1	3
40	McGill LT	Novice	1st	4th	4th	3rd	3rd	3rd	1st	3rd	1st	13	1384	3	0
41	USC SW	Novice	4th	2nd	4th	1st	1st	4th	2nd	2nd	3rd	13	1375	2	3
42	Stanford KR		4th	3rd	2nd	1st	4th	2nd	1st	4th	2nd	13	1373	2	3
43	Stanford AG	Novice	3rd	3rd	3rd	1st	3rd	2nd	3rd	4th	1st	13	1370	2	1
44	Stanford TY	Novice	1st	4th	3rd	4th	1st	4th	2nd	1st	3rd	13	1366	3	1
45	UCBerkeley Blue		4th	4th	1st	2nd	3rd	3rd	3rd	1st	2nd	13	1363	2	2
46	HH $2.4 Million Settlement		2nd	3rd	3rd	1st	4th	4th	4th	1st	2nd	12	1388	2	2
47	Duke SZ	Novice	3rd	1st	3rd	3rd	4th	4th	2nd	2nd	2nd	12	1378	1	3
48	Alberta A		3rd	2nd	1st	3rd	3rd	3rd	3rd	3rd	3rd	12	1373	1	1
49	TMX Azulitos	ESL, Novice	3rd	2nd	4th	2nd	2nd	3rd	3rd	1st	4th	12	1372	1	3
50	Dartmouth B	Novice	4th	4th	3rd	3rd	1st	1st	3rd	1st	4th	12	1368	3	0
51	UCBerkeley AD		2nd	4th	1st	1st	4th	3rd	4th	2nd	3rd	12	1368	2	2
52	Californication	Novice	3rd	2nd	1st	4th	3rd	3rd	4th	3rd	1st	12	1365	2	1
53	Middlebury SW	ESL, Novice	4th	1st	3rd	4th	4th	4th	2nd	1st	1st	12	1361	3	1
54	maybe I&#x27;m delusional ☝️ debate is 		3rd	2nd	4th	4th	1st	1st	2nd	3rd	4th	12	1356	2	2
55	Dartmouth C	Novice	3rd	4th	4th	1st	3rd	2nd	2nd	4th	1st	12	1340	2	2
56	Yale LM	Novice	3rd	1st	4th	3rd	1st	4th	4th	2nd	3rd	11	1367	2	1
57	UWODS CL		4th	2nd	2nd	1st	4th	4th	1st	3rd	4th	11	1365	2	2
58	Middlebury SG	ESL	4th	4th	1st	4th	1st	1st	4th	2nd	4th	11	1361	3	1
59	Columbia B		4th	4th	2nd	2nd	2nd	1st	4th	3rd	3rd	11	1361	1	3
60	TEC CEM Quesadillas &lt;3	ESL	2nd	3rd	2nd	4th	4th	2nd	4th	2nd	2nd	11	1354	0	5
61	TEC CEM Chile Relleno	ESL	4th	1st	4th	1st	4th	4th	4th	2nd	1st	11	1352	3	1
62	Queen&#x27;s Annika Tucker	Novice	4th	1st	4th	3rd	4th	2nd	1st	4th	2nd	11	1343	2	2
63	Middlebury SM		3rd	4th	3rd	2nd	1st	2nd	3rd	3rd	4th	11	1342	1	2
64	/the/ mini eggs !		1st	4th	4th	3rd	3rd	1st	2nd	4th	4th	10	1376	2	1
65	2 of Amerikaz Most Wanted		2nd	4th	1st	4th	2nd	3rd	2nd	4th	4th	10	1363	1	3
66	Technocratic communism	ESL	3rd	4th	4th	2nd	2nd	4th	3rd	1st	3rd	10	1350	1	2
67	SCREEE		4th	1st	4th	4th	4th	1st	3rd	3rd	3rd	9	1349	2	0
68	PandITAM	ESL, Novice	4th	4th	2nd	1st	3rd	4th	4th	2nd	3rd	9	1331	1	2
69	TMX Jose y Luis	ESL, Novice	4th	3rd	1st	4th	4th	4th	3rd	3rd	1st	9	1323	2	0
70	María y Brisa	ESL, Novice	4th	2nd	4th	4th	3rd	2nd	2nd	4th	2nd	9	1317	0	4
71	Stanford BZ	Novice	4th	3rd	3rd	3rd	2nd	3rd	3rd	3rd	4th	8	1329	0	1
72	ITESM TOLUCA SS	ESL	4th	3rd	2nd	2nd	4th	2nd	3rd	4th	4th	8	1326	0	3
73	Red Raider Debaters	Novice	2nd	4th	4th	4th	4th	3rd	1st	4th	3rd	7	1313	1	1
74	HWS C	Novice	3rd	3rd	3rd	4th	4th	3rd	1st	4th	4th	7	1309	1	0
75	TEC CEM Tacos de mixiote	ESL, Novice	4th	4th	4th	4th	2nd	1st	4th	3rd	4th	6	1326	1	1
76	TECTOL-UAEMEX	ESL	3rd	4th	4th	3rd	3rd	4th	4th	4th	2nd	5	1325	0	1
77=	Swing 1		—	—	—	—	—	—	—	—	—	—	—	0	0
77=	Swing 2		—	—	—	—	—	—	—	—	—	—	—	0	0
77=	Swing 3		—	—	—	—	—	—	—	—	—	—	—	0	0


Rk	name	category	team	R1	R2	R3	R4	R5	R6	R7	R8	R9	Total	Avg	Stdev
1	Xiao-ke Lu		Kalavagunta and Lu	84	83	83	82	81	84	84	82	85	748	83.11	1.20
2	Tejas Subramaniam		Stanford LS	84	81	82	84	82	81	85	83	80	742	82.44	1.57
3	Rahul Kalavagunta		Kalavagunta and Lu	84	81	83	81	80	83	84	81	84	741	82.33	1.49
4	Max Rosen		McGill RM	82	82	82	81	81	83	84	82	82	739	82.11	0.87
5	Ryan Lafferty		Dartmouth A	77	82	84	83	80	83	84	84	81	738	82.00	2.21
6	Matt Song		Yale NS	85	83	81	80	82	82	82	82	80	737	81.89	1.45
7	Madeleine Wu		Dartmouth A	78	83	82	82	79	83	84	83	81	735	81.67	1.89
8=	Maddie Nagle		Yale NS	84	82	80	80	80	82	81	82	79	730	81.11	1.45
8=	Matt Mauriello		Harvard GM	81	79	78	82	81	82	85	81	81	730	81.11	1.85
8=	Elizabeth Li	Novice	Stanford LS	83	79	81	82	80	80	84	82	79	730	81.11	1.66
11=	Naz Soysal	Novice	Yale ST	81	79	80	82	81	83	83	81	79	729	81.00	1.41
11=	Ananya Ganesh		Harvard GM	80	80	80	81	80	81	85	81	81	729	81.00	1.49
11=	Sarenna McKellar		McGill RM	81	80	82	80	80	82	82	81	81	729	81.00	0.82
14=	Teddy Tawil		Yale ST	79	80	80	82	80	83	83	81	79	727	80.78	1.47
14=	Max Williams		HH The Last Dance	81	83	78	82	80	81	80	81	81	727	80.78	1.31
16	Nicholas Abernethy		Queen&#x27;s Nimai Abernethy	78	79	81	81	81	80	81	82	83	726	80.67	1.41
17=	Daniel Svirsky		UWODS A	81	82	82	79	81	79	81	78	78	721	80.11	1.52
17=	Vidit Desai		HH The Last Dance	80	82	78	81	80	79	81	80	80	721	80.11	1.10
17=	Catherine Liu		Harvard AL	78	83	82	78	78	81	79	79	83	721	80.11	2.02
17=	Tina Yong		UBC TB	79	81	79	84	82	78	78	78	82	721	80.11	2.08
21	Bobo Wong		UBC TB	79	81	78	83	81	79	79	78	82	720	80.00	1.70
22	Belle Ho		California girls, we&#x27;re unforgetta	80	80	82	78	80	81	79	78	81	719	79.89	1.29
23	Tanya Chatterjee	Novice	Columbia C	78	79	78	84	79	78	80	82	79	717	79.67	1.94
24=	Adam Banihani		HH Xi Simping	79	80	77	79	79	81	80	80	80	715	79.44	1.07
24=	Edward Xu	Novice	UCBerkeley XK	81	79	79	82	76	77	81	80	80	715	79.44	1.83
24=	Thej Mallu		California girls, we&#x27;re unforgetta	80	81	80	77	80	81	79	76	81	715	79.44	1.71
24=	Nimai Koneru		Queen&#x27;s Nimai Abernethy	78	77	80	80	79	80	80	80	81	715	79.44	1.17
28=	Sherry Shu		UWODS A	80	81	81	78	80	79	80	77	78	714	79.33	1.33
28=	Arpi Yang		HH Xi Simping	80	80	75	79	80	82	79	79	80	714	79.33	1.76
30=	Maia Decker		Yale DG	77	82	81	81	80	80	78	77	77	713	79.22	1.87
30=	Ryan Gumlia	Novice	Yale DG	77	82	81	80	80	80	78	77	78	713	79.22	1.69
30=	Daniel Sheremeta		Harvard HS	78	78	82	81	79	82	77	76	80	713	79.22	2.04
30=	Tori Qiu		Stanford QF	81	80	77	82	77	81	78	81	76	713	79.22	2.10
34=	Nir Amin		Harvard AL	77	83	81	79	77	78	78	77	82	712	79.11	2.18
34=	Jenna Hong		Harvard HS	78	79	82	81	78	82	76	77	79	712	79.11	2.02
34=	Sajid Farook		Stanford QF	80	79	77	82	77	83	77	81	76	712	79.11	2.38
37=	Mukudzeiishe Madzivire	Novice	Columbia A	80	77	76	78	79	79	80	83	79	711	79.00	1.89
37=	Nilabh Agrawal		MLE Choppa	80	80	79	77	80	77	78	81	79	711	79.00	1.33
37=	Ryan Ham		UCBerkeley HE	82	77	77	79	79	76	79	81	81	711	79.00	1.94
40=	Emily Shi		HH Whose gonna carry the boat?!	77	82	81	77	80	78	77	79	79	710	78.89	1.73
40=	Lamia Nur Rahman	ESL	HWS A	81	78	77	78	77	82	78	81	78	710	78.89	1.79
40=	Shayor Khan	Novice	UCBerkeley XK	80	78	79	79	76	78	82	79	79	710	78.89	1.52
43=	Sandeep Tissaaratchy	ESL	HWS A	80	77	76	79	78	81	79	80	79	709	78.78	1.47
43=	Amy Chang		Stanford CT	80	81	80	76	78	81	76	79	78	709	78.78	1.81
45=	Claire Beamer		Stanford BD	75	77	78	79	77	79	80	84	79	708	78.67	2.36
45=	Benjamin Thomas		Stanford CT	80	80	79	78	78	80	76	79	78	708	78.67	1.25
47=	Rohan Sundaram	Novice	Columbia C	76	77	77	84	78	78	78	81	78	707	78.56	2.31
47=	Anders Cairns Woodruff		McGill WA	76	78	80	80	78	79	81	79	76	707	78.56	1.64
47=	Humam Aziz		McGill WA	78	78	79	80	78	80	81	78	75	707	78.56	1.64
47=	Muhammad Dhafer		Stanford BD	77	77	77	80	76	80	78	83	79	707	78.56	2.06
47=	Emily Chen		MLE Choppa	79	81	79	77	79	76	78	80	78	707	78.56	1.42
47=	Will Ryan	Novice	Paradise City	82	78	76	79	77	79	78	78	80	707	78.56	1.64
47=	Anais Kneppers		EDS A	78	79	78	81	77	83	77	77	77	707	78.56	2.01
54=	Benjamin Scherzer		Columbia A	79	75	77	77	80	78	80	82	78	706	78.44	1.95
54=	Crystal Zhang	Novice	HH Whose gonna carry the boat?!	78	81	80	76	79	78	77	80	77	706	78.44	1.57
54=	David Eick		UCBerkeley HE	81	76	77	78	79	76	78	81	80	706	78.44	1.83
57	Lily Mckay		Queen&#x27;s Lily Larkins	79	76	73	79	81	78	79	83	77	705	78.33	2.71
58	Ellena Kim		Welcome to the Hotel California	77	79	78	79	76	84	78	74	78	703	78.11	2.56
59	Dilys Wang		Last Hurrah	79	78	79	79	79	77	77	76	78	702	78.00	1.05
60	Mert Turna	Novice, ESL	Welcome to the Hotel California	76	81	79	78	76	83	77	74	77	701	77.89	2.60
61=	Manon Fuchs		Last Hurrah	78	78	79	80	77	76	77	76	79	700	77.78	1.31
61=	Richard Colgrove	Novice	Paradise City	79	76	76	78	76	78	80	77	80	700	77.78	1.55
63	Marilyn Ben		USC BK	78	79	75	77	79	78	79	76	78	699	77.67	1.33
64=	Cam Miranda-Radbord		HH VAMOSSSSSS	80	80	77	76	81	77	76	76	75	698	77.56	2.06
64=	Fairooj Suhita	Novice, ESL	HWS B	78	76	77	78	78	77	75	81	78	698	77.56	1.57
64=	Adithi Attada		Swarthmore A	78	78	75	76	79	78	77	80	77	698	77.56	1.42
67=	Brandon Zi Mo Zhang		HH VAMOSSSSSS	79	78	77	76	81	76	77	76	77	697	77.44	1.57
67=	Manolo Vázquez	ESL	TEC CEM Torta de Chilaquil	75	81	75	76	79	74	78	81	78	697	77.44	2.45
69=	Hudson Chou	Novice	HWS B	77	77	77	79	78	77	74	79	78	696	77.33	1.41
69=	Bohou Zhang	Novice	Swarthmore A	78	77	76	75	79	78	76	80	77	696	77.33	1.49
71=	Harshitha Dasari		USC LD	77	77	77	76	74	79	80	78	77	695	77.22	1.62
71=	Simon Yu		HH $2.4 Million Settlement	80	77	74	82	75	77	75	77	78	695	77.22	2.39
71=	Stine Isak		Rochester IN	77	78	80	75	77	73	79	79	77	695	77.22	2.04
74=	Hugo Kittell		USC BK	77	78	74	78	78	76	80	75	78	694	77.11	1.73
74=	Fiona Gervin		/the/ mini eggs !	79	79	80	76	74	78	76	78	74	694	77.11	2.08
74=	Pedro Proano	ESL	EDS A	76	75	75	81	77	82	76	76	76	694	77.11	2.42
77=	Anna Liu		USC LD	77	76	76	76	75	79	79	77	77	692	76.89	1.29
77=	Bridget Li	Novice	McGill LT	82	78	72	74	76	77	77	76	80	692	76.89	2.81
77=	Vijay Tupper	Novice	McGill LT	80	78	73	73	75	77	78	77	81	692	76.89	2.64
77=	James Larkins		Queen&#x27;s Lily Larkins	76	76	73	76	80	78	78	80	75	692	76.89	2.18
77=	Lino Mialma	ESL	TEC CEM Torta de Chilaquil	74	79	75	75	79	75	78	80	77	692	76.89	2.08
82	Charles Ndlovu	ESL	Rochester IN	76	78	79	75	77	72	79	78	77	691	76.78	2.10
83=	Emily Zou	Novice	Duke SZ	79	79	75	73	76	75	76	79	78	690	76.67	2.05
83=	Ayuki Ichikawa		UCBerkeley AD	80	74	77	78	78	75	76	77	75	690	76.67	1.76
85=	Abhimanyu Wadhwa	Novice	USC SW	76	78	73	77	77	81	75	77	75	689	76.56	2.11
85=	Joseph Kim		Stanford KR	77	73	77	79	77	76	77	76	77	689	76.56	1.50
87	Will Schmeltz	Novice	Duke SZ	78	78	74	75	76	75	75	79	78	688	76.44	1.71
88=	Adrian Wattamaniuk		Alberta A	76	78	76	79	78	76	75	74	75	687	76.33	1.56
88=	Isabel Padrón	Novice, ESL	TMX Azulitos	75	74	78	77	76	75	74	80	78	687	76.33	1.94
90=	Tommy Shu	Novice	USC SW	75	77	74	77	77	81	75	75	75	686	76.22	1.99
90=	Natalie Keim	Novice	Dartmouth B	74	76	75	73	81	79	74	78	76	686	76.22	2.48
90=	Annmaria Antony	Novice	Stanford AG	78	71	75	78	76	79	77	75	77	686	76.22	2.25
90=	Ivan Toh	Novice	Stanford TY	79	74	73	77	76	76	77	80	74	686	76.22	2.20
90=	Eyasu Yakob		Alberta A	76	78	75	78	78	76	75	74	76	686	76.22	1.40
90=	Hunter Valencia		UCBerkeley Blue	75	75	77	77	76	76	75	78	77	686	76.22	1.03
90=	Alba Borrego Pablos	Novice	Californication	75	74	77	78	78	79	71	77	77	686	76.22	2.35
97=	Andrew Liu	Novice	UWODS CL	72	78	76	80	75	75	77	79	73	685	76.11	2.51
97=	Jonathan Lim	Novice	Yale LM	76	79	74	79	79	73	75	75	75	685	76.11	2.18
97=	Pablo Pérez	Novice, ESL	TMX Azulitos	73	75	78	76	76	75	75	80	77	685	76.11	1.91
100=	Sehrish Gohar	Novice	Stanford AG	77	71	75	78	76	79	77	74	77	684	76.00	2.26
100=	Ricky Rojas		Stanford KR	76	73	75	78	77	76	77	76	76	684	76.00	1.33
102	Shayiq Shah	ESL	Middlebury SG	72	74	78	75	78	78	76	78	74	683	75.89	2.13
103=	Aaron Mesa	Novice	Yale LM	76	79	74	77	79	72	73	76	76	682	75.78	2.30
103=	Ayush Ajmani	Novice	Dartmouth B	74	75	75	72	81	79	74	78	74	682	75.78	2.74
103=	Kyla Silva	Novice	/the/ mini eggs !	78	77	78	76	75	75	76	76	71	682	75.78	1.99
103=	Jack Thompson		2 of Amerikaz Most Wanted	75	79	79	72	78	77	76	73	73	682	75.78	2.53
103=	Jasmine Leung		maybe I&#x27;m delusional ☝️ debate is 	76	78	75	73	78	75	78	75	74	682	75.78	1.75
108=	Brock Walker	Novice	Columbia B	74	75	76	75	77	79	76	74	75	681	75.67	1.49
108=	Tajvir Singh		2 of Amerikaz Most Wanted	75	79	78	73	77	76	76	74	73	681	75.67	2.00
108=	Aria Saines	Novice, ESL	Middlebury SW	75	78	71	76	73	75	75	78	80	681	75.67	2.58
111=	Kyla Coutts		UWODS CL	72	78	75	80	75	74	76	77	73	680	75.56	2.36
111=	Varun Mandgi		Columbia B	74	75	75	75	77	80	77	73	74	680	75.56	2.01
111=	Hong Meng Yam	Novice	Stanford TY	78	73	73	75	76	74	77	80	74	680	75.56	2.27
111=	Fenya Walter	Novice, ESL	Middlebury SW	74	79	73	76	73	76	74	76	79	680	75.56	2.17
115	Clarissa Zuo	Novice	Californication	74	74	76	77	78	78	70	76	76	679	75.44	2.36
116=	Divit Chopra	Novice	UCBerkeley AD	78	74	76	76	78	74	73	74	75	678	75.33	1.70
116=	Zuzanna Godzinska	Novice, ESL	Middlebury SG	73	75	76	74	77	76	76	78	73	678	75.33	1.63
118=	Kember Feuerzeig		UCBerkeley Blue	72	74	76	76	76	75	74	78	76	677	75.22	1.62
118=	Annika Frankiss	Novice	Queen&#x27;s Annika Tucker	75	78	68	77	75	75	78	76	75	677	75.22	2.82
118=	Mauricio San Román	ESL	TEC CEM Quesadillas &lt;3	78	77	74	75	74	75	73	74	77	677	75.22	1.62
118=	Aranza Jazmin Valadez Garcia	ESL	TEC CEM Quesadillas &lt;3	79	78	75	74	73	73	74	73	78	677	75.22	2.30
122=	Khylan Stubblefield		SCREEE	77	78	75	73	74	76	76	73	74	676	75.11	1.66
122=	Daniel Mimila	ESL	Technocratic communism	77	74	74	76	74	74	75	76	76	676	75.11	1.10
124=	Danté Fosterdelmundo		maybe I&#x27;m delusional ☝️ debate is 	74	77	74	73	78	75	76	75	72	674	74.89	1.79
124=	Isaac Palatto	Novice, ESL	Technocratic communism	78	73	73	75	75	75	75	75	75	674	74.89	1.37
126=	Rose West	Novice	SCREEE	77	77	74	73	72	76	77	73	74	673	74.78	1.87
126=	Aidan Scible		Middlebury SM	78	69	74	72	77	76	77	77	73	673	74.78	2.82
126=	Esteban Valle	ESL	TEC CEM Chile Relleno	77	80	71	79	72	70	76	73	75	673	74.78	3.33
129	Aryanna Ram	Novice	Dartmouth C	74	69	73	76	74	78	78	72	78	672	74.67	2.94
130	Germán Soto Camacho	ESL	ITESM TOLUCA SS	75	76	70	77	71	76	76	75	74	670	74.44	2.27
131=	Cano Rivera	Novice, ESL	PandITAM	76	74	76	74	74	74	74	76	71	669	74.33	1.49
131=	Isaac Mays-Smith		Middlebury SM	77	68	74	72	76	75	77	76	74	669	74.33	2.71
133	Nushba Tajreen	Novice, ESL	Dartmouth C	72	67	74	76	74	77	78	72	78	668	74.22	3.36
134	Daniela Ilean Recendiz	Novice, ESL	TEC CEM Tacos de mixiote	71	74	72	74	78	78	74	76	70	667	74.11	2.69
135	Olivia Tucker	Novice	Queen&#x27;s Annika Tucker	74	76	67	75	74	76	76	73	75	666	74.00	2.67
136	Joshua Bahk	Novice	Stanford BZ	73	78	73	72	75	76	75	74	69	665	73.89	2.42
137=	Alina Zhang	Novice	Stanford BZ	74	77	75	71	75	75	75	73	69	664	73.78	2.30
137=	Leonardo Jared Pichardo Monroy	ESL	TECTOL-UAEMEX	75	76	73	74	75	75	73	72	71	664	73.78	1.55
139	Nadia Paola Caldiño García	Novice, ESL	PandITAM	74	72	77	72	72	73	73	77	72	662	73.56	1.95
140=	Brisa	Novice, ESL	María y Brisa	76	76	67	71	74	77	76	72	72	661	73.44	3.06
140=	Jose Luis Ortega Castro	Novice, ESL	TMX Jose y Luis	73	74	79	73	72	71	74	73	72	661	73.44	2.17
142	Gabriel Rodriguez	Novice, ESL	TEC CEM Tacos de mixiote	70	70	71	74	77	77	74	76	70	659	73.22	2.86
143	Simarjot Singh	Novice	Red Raider Debaters	76	75	69	70	71	77	74	74	71	657	73.00	2.67
144=	María Covian Sabaté	Novice, ESL	María y Brisa	74	76	66	72	74	76	75	71	72	656	72.89	2.96
144=	Christian Burgos	Novice	Red Raider Debaters	77	75	69	68	72	75	76	73	71	656	72.89	2.96
146	Leo Bonacci	Novice	HWS C	74	74	67	73	74	72	76	71	71	652	72.44	2.45
147	Luis Marcos Villareal	ESL	TEC CEM Chile Relleno	76	82	73	78	72	72	76	75	—	604	75.50	3.16
148	David Zu		HH $2.4 Million Settlement	—	—	75	81	76	78	75	76	77	538	76.86	1.96
149	Taco	Novice, ESL	TMX Jose y Luis	72	75	79	—	—	70	74	74	74	518	74.00	2.56
150	Jacob Franchi	Novice	HWS C	76	74	67	74	75	73	77	—	—	516	73.71	3.01
151	Pamela Sánchez Fernández	ESL	ITESM TOLUCA SS	73	75	66	75	69	—	—	73	73	504	72.00	3.07
152	Victor Patricio Martínez Salgado	Novice, ESL	TECTOL-UAEMEX	—	—	—	75	75	75	—	72	72	369	73.80	1.47
153=	Speaker 1		Swing 1	—	—	—	—	—	—	—	—	—	—	—	—
153=	Speaker 2		Swing 1	—	—	—	—	—	—	—	—	—	—	—	—
153=	Speaker 1		Swing 2	—	—	—	—	—	—	—	—	—	—	—	—
153=	Speaker 2		Swing 2	—	—	—	—	—	—	—	—	—	—	—	—
153=	Speaker 1		Swing 3	—	—	—	—	—	—	—	—	—	—	—	—
153=	Speaker 2		Swing 3	—	—	—	—	—	—	—	—	—	—	—	—


team	result	side	ballot	adjudicators
2 of Amerikaz Most Wanted	2nd	Opening Government	View Ballot	Anette XiaⒸ , Kira Waldhalm
Dartmouth C	3rd	Opening Opposition	View Ballot	Anette XiaⒸ , Kira Waldhalm
McGill WA	1st	Closing Government	View Ballot	Anette XiaⒸ , Kira Waldhalm
TEC CEM Tacos de mixiote	4th	Closing Opposition	View Ballot	Anette XiaⒸ , Kira Waldhalm
Harvard GM	1st	Opening Government	View Ballot	Elgin LinⒸ , Sabás Alejandro Colmenares Lasnibat
Duke SZ	3rd	Opening Opposition	View Ballot	Elgin LinⒸ , Sabás Alejandro Colmenares Lasnibat
California girls, we&#x27;re unforgetta	2nd	Closing Government	View Ballot	Elgin LinⒸ , Sabás Alejandro Colmenares Lasnibat
USC LD	4th	Closing Opposition	View Ballot	Elgin LinⒸ , Sabás Alejandro Colmenares Lasnibat
TEC CEM Quesadillas &lt;3	2nd	Opening Government	View Ballot	Lelan HuⒸ , Pranav Anand , Nathaniel TesfayeⓉ
McGill LT	1st	Opening Opposition	View Ballot	Lelan HuⒸ , Pranav Anand , Nathaniel TesfayeⓉ
UCBerkeley Blue	4th	Closing Government	View Ballot	Lelan HuⒸ , Pranav Anand , Nathaniel TesfayeⓉ
Middlebury SM	3rd	Closing Opposition	View Ballot	Lelan HuⒸ , Pranav Anand , Nathaniel TesfayeⓉ
Swarthmore A	2nd	Opening Government	View Ballot	Greg KwokⒸ , Stephanie Chen , William Chen
Technocratic communism	3rd	Opening Opposition	View Ballot	Greg KwokⒸ , Stephanie Chen , William Chen
María y Brisa	4th	Closing Government	View Ballot	Greg KwokⒸ , Stephanie Chen , William Chen
UWODS A	1st	Closing Opposition	View Ballot	Greg KwokⒸ , Stephanie Chen , William Chen
HWS B	2nd	Opening Government	View Ballot	Serena YuanⒸ , Ann Tran , Brian Conde MartinezⓉ
Columbia C	3rd	Opening Opposition	View Ballot	Serena YuanⒸ , Ann Tran , Brian Conde MartinezⓉ
Stanford CT	1st	Closing Government	View Ballot	Serena YuanⒸ , Ann Tran , Brian Conde MartinezⓉ
USC SW	4th	Closing Opposition	View Ballot	Serena YuanⒸ , Ann Tran , Brian Conde MartinezⓉ
Yale DG	2nd	Opening Government	View Ballot	Mauricio Jarufe CaballeroⒸ , Jasmine Goncalves Piment , Kenn Jiang
HH Whose gonna carry the boat?!	1st	Opening Opposition	View Ballot	Mauricio Jarufe CaballeroⒸ , Jasmine Goncalves Piment , Kenn Jiang
Stanford BZ	4th	Closing Government	View Ballot	Mauricio Jarufe CaballeroⒸ , Jasmine Goncalves Piment , Kenn Jiang
Rochester IN	3rd	Closing Opposition	View Ballot	Mauricio Jarufe CaballeroⒸ , Jasmine Goncalves Piment , Kenn Jiang
TMX Azulitos	3rd	Opening Government	View Ballot	Tanvir ShahriarⒸ , Molly Callaghan , Muhammad Asfandyar
UBC TB	1st	Opening Opposition	View Ballot	Tanvir ShahriarⒸ , Molly Callaghan , Muhammad Asfandyar
TMX Jose y Luis	4th	Closing Government	View Ballot	Tanvir ShahriarⒸ , Molly Callaghan , Muhammad Asfandyar
